country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
Canada,CA,Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,"MontrÃ©al, QuÃ©bec, Canada",Villeray-Saint-Michel-Parc-Extension,11648810,Appartement 3 1/2 en rÃ©sidence,no rules,Entire home/apt,35,Condominium,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Dryer', 'Essentials', 'Hangers', 'Heating', 'Iron', 'Kitchen', 'Washer', 'Wifi'",45.55264,-73.60386,Yes,5,45,0,0,0,0,strict_14_with_grace_period,0,70,61646690,Lansana,CA,2,1,1,Not Specified,Not Specified,No,No
Canada,CA,Montreal,Le Plateau-Mont-Royal,Mile End,"Montreal, QC, Canada",Le Plateau-Mont-Royal,116931,Nice room with queen sized bed,Respectful.,Private room,30,Apartment,1,1,Real Bed,1,1,0,1,"Air conditioning', 'Essentials', 'Fire extinguisher', 'First aid kit', 'Free street parking', 'Heating', 'Host greets you', 'Kitchen', 'Lock on bedroom door', 'Shampoo', 'Smoke detector', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",45.52572,-73.58677,Yes,30,730,0,0,0,193,moderate,20,88,528512,Jen,"Montreal, Quebec, Canada",122,8,8,within a few hours,100,No,Yes
Canada,CA,Montreal,Anjou,Not Specified,"MontrÃ©al, QuÃ©bec, Canada",Anjou,11715762,Appartement avec gymnase et sauna,"Respecter les voisins, pas de musique forte, ni de fÃªte ou ""party'', pas d'animaux, pas de fumeur",Entire home/apt,60,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Air conditioning', 'Cable TV', 'Carbon monoxide detector', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Gym', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Smoke detector', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",45.5993,-73.55486,No,179,179,30,60,90,180,strict_14_with_grace_period,0,0,62289550,FranÃ§ois,CA,0,1,1,Not Specified,Not Specified,No,No
Canada,CA,Montreal,Rosemont-La Petite-Patrie,Old Rosemont,"MontrÃ©al, QuÃ©bec, Canada",Rosemont-La Petite-Patrie,11792238,#REF!,RÃ©servation de 7 nuits minimum.,Entire home/apt,150,Apartment,1,2,Real Bed,1,3,0,1,"Dryer', 'Essentials', 'Fire extinguisher', 'Heating', 'Kitchen', 'Smoke detector', 'TV', 'Washer', 'Wifi'",45.54904,-73.5824,Yes,6,1125,0,0,0,0,strict_14_with_grace_period,45,80,2377793,Louis-Philippe,"Montreal, Quebec, Canada",1,1,1,Not Specified,Not Specified,No,Yes
Canada,CA,Montreal,Griffintown,Griffintown,"MontrÃ©al, QuÃ©bec, Canada",Le Sud-Ouest,11841749,MODERN CONDO WITH VIEW - GRIFFIN,"- Please leave the place clean after you, do your dishes.  - No guests or animals are allowed (max 3 p. in th condo and the common areas) - No smoking - Do not be too loud",Entire home/apt,79,Apartment,2,2,Real Bed,1,3,0,1,"Air conditioning', 'Cable TV', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Gym', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",45.49665,-73.55863,Yes,2,2,0,0,0,0,moderate,0,100,23898986,Manon,"Montreal, QuÃ©bec, Canada",1,1,1,Not Specified,Not Specified,No,Yes
Canada,CA,Montreal,Le Plateau,Le Plateau,"MontrÃ©al, QuÃ©bec, Canada",Le Plateau-Mont-Royal,11846549,18C.  NICE AND COZY 2 BEDROOMS. PERFECT LOCATION!,"#1 - Enjoy your stay and make every moment count! -  Check-in is at 3 pm local time. If the apartment is ready earlier, Iâ€™ll let you know. Check-out is at 11AM, but Iâ€™d be happy to extend it as long as I donâ€™t have a cleaning scheduled. Just ask:) - Please be respectful - No smoking inside the apartment, you will find a can with sand on the balcony.  - Please remove your shoes when you get in the house. - No loud parties or excessive noise, we don't want to have problems with the neighbours.  - Please do not leave dirty dishes in the sink to add to the normal cleaning of the apartment. There's a dishwasher and also you will find little pack of dishwasher detergent under the sink! - Extra will be charged for any damage, excessive cleaning or unauthorized late check-out.   - Don't forget rule #1. Thank you in advance!",Entire home/apt,90,Apartment,2,2,Real Bed,1,4,10,2,"24-hour check-in', 'Air conditioning', 'Carbon monoxide detector', 'Dryer', 'Essentials', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lockbox', 'Self check-in', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",45.51702,-73.57981,Yes,1,1125,25,53,80,155,moderate,30,92,9998124,Simple Stay,"Montreal, Quebec, Canada",93,18,18,within an hour,86,No,No
Canada,CA,Montreal,Mile End,Mile End,"MontrÃ©al, QuÃ©bec, Canada",Le Plateau-Mont-Royal,11860692,Colourful apt in Plateau/Mile End,"* Make sure to lock the door as you leave the house either using the top or bottom locks. It DOES NOT lock on its own. Before leaving the apartment during check-out, make sure that you have taken all of your belongings. Please leave the keys on the kitchen table and lock the door from the inside, using the lock on the door handle. * There is no smoking in the apartment, but you can smoke on the front and back balcony. * Please leave your shoes on the shoe rack near the front door. * When showering, please open the bathroom window. * Children should be supervised at all times. * Please do not take any cutlery, utensils, or other kitchen items of any kind. * Please, do not damage the walls or windows, or make changes or additions to the premises, including changing or installing new locks.  * Please do not allow unauthorized persons onto the premises. * Please leave the local town guides for the next visitors.",Entire home/apt,75,Apartment,1,2,Real Bed,1,4,10,4,"Air conditioning', 'Carbon monoxide detector', 'Childrenâ€™s books and toys', 'Cooking basics', 'Dishes and silverware', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Microwave', 'Oven', 'Pack â€™n Play/travel crib', 'Patio or balcony', 'Refrigerator', 'Safety card', 'Shampoo', 'Smoke detector', 'Stove', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_50'",45.5221,-73.58715,Yes,3,1125,0,0,0,0,moderate,55,99,11461476,Toby,"Montreal, Quebec, Canada",25,1,1,Not Specified,Not Specified,No,Yes
Canada,CA,Montreal,Rosemont-La Petite-Patrie,Not Specified,"MontrÃ©al, QC, Canada",Rosemont-La Petite-Patrie,11863943,Au cÅ“ur de la Petite Patrie,"Non fumeur, respectueux des lieux et des objets.",Entire home/apt,115,Apartment,2,4,Real Bed,1,6,0,1,',45.54566,-73.59462,No,1,1125,0,0,0,145,flexible,0,94,56543131,ZoÃ©,"Montreal, QuÃ©bec, Canada",13,1,1,within a few hours,100,No,No
Canada,CA,Montreal,Le Plateau-Mont-Royal,McGill Ghetto,"MontrÃ©al, QuÃ©bec, Canada",Le Plateau-Mont-Royal,11936451,Charming and cozy condo Plateau Mt-Royal/ McGill,No smoking. No pets. Maximum 3 people.,Entire home/apt,68,Condominium,0,1,Real Bed,1,3,10,2,"Air conditioning', 'Buzzer/wireless intercom', 'Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",45.5084,-73.57711,Yes,2,1125,0,0,0,0,moderate,25,98,27836110,Tarek,"Montreal, Quebec, Canada",16,1,1,Not Specified,Not Specified,No,Yes
Canada,CA,Montreal,Gay Village,Gay Village,"MontrÃ©al, QuÃ©bec, Canada",Ville-Marie,12080961,Charmante chambre - Berri Uqam,"Respect des autres, garder le logement comme vous l'avez trouvÃ©.",Private room,40,Apartment,1,1,Real Bed,1,2,0,1,"Carbon monoxide detector', 'Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoke detector', 'Smoking allowed', 'Washer', 'Wifi'",45.51891,-73.55889,Yes,1,1125,0,0,0,0,moderate,0,95,34746769,MaÃ«lle,"Paris, ÃŽle-de-France, France",4,1,1,Not Specified,Not Specified,No,Yes
