country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
United States,US,New York,Williamsburg,Williamsburg,"Brooklyn, NY, United States",Williamsburg,10166986,Resort-like living in Williamsburg,no rules,Entire home/apt,220,Apartment,2,2,Real Bed,1,4,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Gym', 'Hangers', 'Heating', 'Hot tub', 'Internet', 'Iron', 'Kitchen', 'Pool', 'Smoke detector', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",40.71552,-73.93869,Yes,5,1125,0,0,0,0,strict_14_with_grace_period,25,100,14461742,Mohammed,"Paris, ÃŽle-de-France, France",1,1,1,Not Specified,Not Specified,No,Yes
United States,US,The Big Island,Kailua/Kona,Kailua/Kona,"Kailua-Kona, HI, United States",North Kona,1022200,"Kailua-Kona, Kona Coast II 2b condo",no rules,Entire home/apt,135,Apartment,2,3,Real Bed,2,6,0,1,"Air conditioning', 'Cable TV', 'Dryer', 'Family/kid friendly', 'Free parking on premises', 'Gym', 'Internet', 'Kitchen', 'Pool', 'Washer', 'Wifi'",19.5702,-155.96445,Yes,7,7,0,13,43,196,strict_14_with_grace_period,0,100,3393610,Daniel,"Las Vegas, Nevada, United States",1,1,1,Not Specified,Not Specified,No,No
United States,US,Maui,Maui,Central Business District,"Lahaina, HI, United States",Lahaina,10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",no rules,Entire home/apt,499,Condominium,1,2,Real Bed,1,4,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Carbon monoxide detector', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Free parking on premises', 'Gym', 'Hair dryer', 'Hangers', 'Heating', 'Hot tub', 'Indoor fireplace', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pool', 'Safety card', 'Smoke detector', 'Suitable for events', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",20.96996,-156.68012,Yes,1,1125,30,60,90,365,strict_14_with_grace_period,99,100,12057949,Holly,"Las Vegas, Nevada, United States",1,472,472,within a day,91,No,Yes
United States,US,Oahu,Leeward Side,Waianae Coast,"Waianae, HI, United States",Waianae,10266175,Makaha Valley Paradise with OceanView,"Hawaii State Tax must be paid via Air BnB Resolution Center before arriving. No Smoking in Condo, on Lanai's, Hallways or Parking Areas. Smoking area is by the entrance near the bicycle parking area and closes at 9 pm. After that you must leave property. Because of the tropical breeze, no hanging of towels or clothes on Lanai or anywhere outside. Check in is anytime after 4 pm  -  Check out is before 11 am Self check in with LockState Smart Lock",Entire home/apt,95,Condominium,1,2,Pull-out Sofa,1,4,0,1,"24-hour check-in', 'Air conditioning', 'Cable TV', 'Carbon monoxide detector', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Other', 'Paid parking on premises', 'Pool', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",21.4818,-158.20291,Yes,3,180,0,3,16,246,moderate,130,98,42868615,Ray And Lise,"Chilliwack, British Columbia, Canada",32,2,2,within an hour,100,Yes,No
United States,US,The Big Island,Island of HawaiÊ»i,Not Specified,"Volcano, HI, United States",Puna,10280433,~Ao Lele~ Flying Cloud,no rules,Entire home/apt,185,Treehouse,1,1,Real Bed,1,2,0,2,"24-hour check-in', 'Bed linens', 'Breakfast', 'Carbon monoxide detector', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Essentials', 'Extra pillows and blankets', 'Fire extinguisher', 'First aid kit', 'Free parking on premises', 'Garden or backyard', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Indoor fireplace', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Microwave', 'Oven', 'Patio or balcony', 'Refrigerator', 'Safety card', 'Shampoo', 'Smoke detector', 'Stove', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",19.42151,-155.21763,No,2,30,20,45,75,165,strict_14_with_grace_period,80,99,52785887,Mike,"Volcano, Hawaii, United States",103,1,1,within a few hours,100,Yes,Yes
United States,US,New York,Upper West Side,The Castro,"New York, NY, United States",Upper West Side,102995,UWS Brownstone Near Central Park,"All the facilities are included ( cleaning , towels , bed linen , heating , WIFI) . Limited to two adult guests only.",Entire home/apt,212,Apartment,1,3,Real Bed,1,3,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Carbon monoxide detector', 'Dryer', 'Essentials', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Private entrance', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",40.78558,-73.9696,Yes,21,30,0,3,5,5,moderate,120,93,178043,Chas,"San Francisco, California, United States",45,4,4,within a day,95,No,Yes
United States,US,New York,Williamsburg,Williamsburg,"Brooklyn, NY, United States",Williamsburg,103161,Cozy Art Top Floor Apt in PRIME Williamsburg!,"-SMOKE is NOT allowed inside the Apt. -NO parties are allowed. -NO Kids of any age. -NO access to the rooftop. -NO Bikes (there is not space for them). There are Citi Bikes around the corner in case you need them. -No execute luggage -Please do not leave the AC or Heat on, while you are not in the Apt. -Any damage will be deducted from your deposit. -Remember check in is at  3:00pm and check out is at 11:00am. If your flight is later on we can manage to leave your bags there and then you can come and pick them up before your flight if I don't have other guests coming right after. -Try to leave the house in good conditions please, remember I live there. Thank you so very much, Ade",Entire home/apt,175,Apartment,1,2,Real Bed,1,2,300,2,"24-hour check-in', 'Air conditioning', 'Bed linens', 'Carbon monoxide detector', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Essentials', 'Ethernet connection', 'Extra pillows and blankets', 'First aid kit', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Other', 'Oven', 'Paid parking off premises', 'Refrigerator', 'Shampoo', 'Smoke detector', 'TV', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",40.71577,-73.96053,Yes,2,300,28,58,88,363,strict_14_with_grace_period,90,96,465278,Ade,"Brooklyn, NY",117,1,1,within a few hours,100,Yes,No
United States,US,Oahu,Ko'olauloa,Ko'olauloa,"Laie, HI, United States",Koolauloa,10317142,Private OceanFront - Bathtub Beach. Spacious House,No Pets No Smoking,Entire home/apt,795,House,4,10,Real Bed,4,14,0,1,"24-hour check-in', 'Beachfront', 'Cable TV', 'Dryer', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Hair dryer', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Smoke detector', 'Suitable for events', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",21.63549,-157.91952,Yes,3,1125,10,17,26,229,strict_14_with_grace_period,345,94,53086419,Noah,"Laie, Hawaii, United States",32,1,1,within a day,50,No,No
United States,US,New York,Tremont,Tremont,"Bronx, NY, United States",Fordham,10332161,A large sunny bedroom,no rules,Private room,35,Apartment,1,1,Real Bed,1,1,0,1,"Air conditioning', 'Dryer', 'Essentials', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Iron', 'Kitchen', 'Lock on bedroom door', 'Smoke detector', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",40.85598,-73.90052,Yes,3,1125,0,0,0,0,moderate,0,90,53169195,Ehssan,"New York, New York, United States",2,1,1,Not Specified,Not Specified,No,Yes
United States,US,Oahu,OÊ»ahu,Not Specified,"Waialua, HI, United States",North Shore Oahu,10392282,Banyan Bungalow,"No smoking, no pets, no parties.  You are welcome to have guests, but of course please let us know ahead of time.  Be considerate of this quiet community and turn down the volume past 9:30 pm.",Entire home/apt,100,Bungalow,0,1,Real Bed,1,2,20,1,"24-hour check-in', 'Cable TV', 'Dog(s)', 'Dryer', 'Essentials', 'Family/kid friendly', 'First aid kit', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pets live on this property', 'Safety card', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",21.57561,-158.1602,No,2,300,12,27,53,321,flexible,80,96,53507053,Bobby,"Waialua, Hawaii, United States",99,1,1,within an hour,100,No,Yes
